name, area_list, description, url, category, tags_list, address, access, business_hours, regular_holidays, tarif, phone_no, if_reservation_needed
美作しいたけ園,'中国'  '岡山県',様々な味覚狩りが楽しめる体験型観光農園,https://www.walkerplus.com/spot/ar0833s58984/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    岡山県美作市北原37[地図],    【電車】JR林野駅よりタクシーで約10分 【車】中国自動車道美作ICより約10分,    9:00～17:00,    火曜,入園料 タケノコ狩り(4月～5月)1本 650円 ワラビ狩り(4月中旬～5月末) 300円 カブトムシ・クワガタ採取(7月～8月) 1080円 シイタケ狩り(個人) 無料　※量り売り円 シイタケ狩り(団体20名以上)1名 1575円 栗狩り(9月上旬～10月下旬) 1200円 入園料(グラウンドゴルフ) 1回 500円 1回(食事をした場合) 250円 会員(年間3000円)になると1年間やり放題, 0868-72-1315 美作しいたけ園,要予約 2週間～1ヶ月前までに電話にて
須金フルーツランド,'中国'  '山口県',個性豊かな農園が集まった一日遊べる観光農園,https://www.walkerplus.com/spot/ar0835s58575/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    山口県周南市須万[地図],    【電車】JR徳山駅から須金行きバスで約60分、中原バス停下車徒歩15分　【車】山陽自動車道徳山東ICから車で約40分,    7月上旬～10月下旬 9:00～17:00    最終受付16:00,    期間内無休,, 0834-86-2000 予約も同じ,0834-86-2000 予約も同じ
高ボッチ高原第2駐車場 展望広場,'甲信越'  '長野県',フリーキャンプサイトがオープン,https://www.walkerplus.com/spot/ar0420s76850/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',    長野県塩尻市片丘[地図],    【電車】JR塩尻駅からタクシーで約40分 【車】長野自動車道塩尻ICから約30分,    入場自由,    期間内なし,入場無料。, 0263-52-0886 塩尻市観光課,
澗満滝展望台,'甲信越'  '長野県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0420s198483/    ,遊ぶ,'展望台・タワー'  '絶景・景勝地'  '子供と'  '恋人と・夫婦で'  '友達と',    長野県下高井郡山ノ内町大字平穏[地図],    【電車】長野電鉄湯田中駅から白根火山線・奥志賀高原線バスで澗満滝下車(5月下旬～11月上旬のみ)、徒歩2分 【車】上信越自動車道信州中野ICから約30分,,    なし,入場無料。, 0269-34-2404 志賀高原観光協会,
那須高原 南ヶ丘牧場,'関東'  '栃木県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0309s07573/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県那須郡那須町湯本579[地図],    【電車】JR那須塩原駅からバス(関東バス那須湯本行きで約38分)一軒茶屋停留所下車、徒歩15分 【車】東北自動車道那須ICから約15分,    8:00～17:30,    なし,入場無料。 有料アトラクションあり, 0287-76-2150,
JAはぐくみ 榛名里見地区梨園,'関東'  '群馬県',群馬県一の梨生産量を誇る伝統ある農園,https://www.walkerplus.com/spot/ar0310s58570/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    群馬県高崎市下里見町293[地図],    【電車】JR高崎駅からタクシーで約20分 【車】関越道高崎ICから約30分,    9:00～17:00    最終入園16:00,    なし,入園料 一律 560円 梨2個試食付き, 027-343-1192 平日対応,
高島市マキノ農業公園マキノピックランド,'関西'  '滋賀県',果物狩りからバーベキューまで楽しめる観光果樹園,https://www.walkerplus.com/spot/ar0725s58922/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    滋賀県高島市マキノ町寺久保835-1[地図],    【電車】JRマキノ駅から高島市コミュニティバス マキノ高原線でマキノピックランド下車すぐ 【車】名神高速道路京都東ICから約90分、北陸自動車道木之本ICから約30分,    9:00～18:00    9:00～17:00 冬期,    水曜(祝祭日の場合は翌日)    ※お盆、年末年始、繁忙期は要確認,, 0740-27-1811 問い合わせおよび予約,0740-27-1811 問い合わせおよび予約
チヨダ園芸,'関東'  '茨城県',果実の種類が豊富で多彩な味覚狩りが楽しめる！,https://www.walkerplus.com/spot/ar0308s58932/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',  〒315-0066 茨城県かすみがうら市中佐谷７４４−１,    【電車】JR神立駅から車で約15分 【車】常磐自動車道千代田石岡ICから約15分,    8:30～17:00,    なし,小人, 0299-59-5710 農園,
東板橋公園,'関東'  '東京都'  '板橋区役所前駅(東京都)'  '新板橋駅(東京都)'  '板橋本町駅(東京都)',動物園を備えた子供に人気の公園,https://www.walkerplus.com/spot/ar0313s77001/    ,遊ぶ,'公園'  '動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    東京都板橋区板橋3-50-1[地図],    【電車】都営地下鉄三田線板橋区役所前駅から徒歩8分,    終日開放,    なし,入場無料。, 03-3963-8003 東板橋公園管理事務所・板橋こども動物園,
山之上果実農業協同組合,'東海'  '岐阜県',眺望抜群の農園は梨が食べ放題！,https://www.walkerplus.com/spot/ar0621s59354/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    岐阜県美濃加茂市山之上町1093-78[地図],    【電車】JR美濃太田駅北口からタクシーで約10分 【車】東海環状自動車道美濃加茂ICから約5分,    9:00～17:00    入場受付15:00まで,    期間中無休,入園料(食べ放題) 大人(中学生以上) 1000円 小人(小学生) 800円 幼児(3歳以上) 600円 3歳未満無料、団体割引あり 団体(30名以上) 大人(中学生以上) 950円 小人(小学生) 750円 幼児(3歳以上) 550円 要予約, 0574-25-4101,
しろとり動物園,'四国'  '香川県',園内を自由に闊歩する放し飼いの動物と触れ合える,https://www.walkerplus.com/spot/ar0937s14719/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    香川県東かがわ市松原2111[地図],    【電車】JR讃岐白鳥駅からタクシーで約10分 【車】高松自動車道引田ICから約10分,    9:00～17:00    季節によって異なる,    繁忙期は第2、4水曜日が休園日。閑散期は毎週水曜日が休園日。    変更あり。要TEL確認,有料。 入園料 大人1300円、小人(3歳～小学生)600円、2歳以下無料, 0879-25-0998,
ぐりーんふらわー牧場・大胡,'関東'  '群馬県',四季折々の花も美しい赤城山麓に広がる牧場,https://www.walkerplus.com/spot/ar0310s74040/    ,遊ぶ,'牧場・乗馬施設'  '道の駅'  '子供と'  '恋人と・夫婦で'  '友達と',    群馬県前橋市滝窪町1369-1[地図],    【電車】上毛電気鉄道大胡駅からデマンドバスで約15分 【車】北関東自動車道駒形ICまたは関越自動車道赤城ICから約30分,    常時開放。花木農産物直売所さんぽ道3～9月9:30～17:00、10～2月9:30～16:30。レストハウスまきば(管理棟及び軽食堂)3～9月10:30～16:30、10～2月10:30～15:30,    年末年始    臨時休業あり,入場無料。 バーベキュー等の利用は有料, 027-283-5792 ぐりーんふらわー牧場・大胡(レストハウスまきば),
服部牧場,'関東'  '神奈川県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0314s07583/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県愛甲郡愛川町半原6087[地図],    【電車】小田急電鉄本厚木駅からバス(半原行き)で愛川大橋停留所下車、徒歩30分 【車】東名高速道路厚木ICから約40分。首都圏中央連絡自動車道相模原ICから約10分,    10:00～17:00,    3～10月は無休、11～2月は毎週金曜,入場無料。, 046-281-0917,
観光農園 南楽園,'関西'  '大阪府',混雑する時間の目安,https://www.walkerplus.com/spot/ar0727s58741/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  'いちご狩り',    大阪府堺市南区別所1457[地図],    【電車】南海電車泉北高速鉄道難波駅から30分、栂・美木多駅にて下車、南海バスに乗り別所南で下車、徒歩700m 【車】阪和自動車道堺ICから府道61号線を南へ7km、別所を左折後約2km,    10:00～16:00,    火曜(祝日の場合は翌日),入園料金(3月～9月)中学生以上 300円、小学生250円、幼児(乳児以外)200円。公式サイト内にてホームページ閲覧割引あり。平日学校関係者は団体特別料金あり。その他料金は公式サイトを確認, 072-298-5037,
利府町観光協会観光梨園,'東北'  '宮城県'  '利府駅(宮城県)',仙台から車で約30分の観光梨園,https://www.walkerplus.com/spot/ar0204s58583/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    宮城県宮城郡利府町加瀬字男鹿島台1-10[地図],    【電車】JR利府駅から徒歩20分 【車】三陸自動車道利府塩釜ICから約3分,    10:00～15:00    入園は～14:30,    不定休    台風等気候変動で閉園の場合あり,有料。 入園料 1名550円(2個もぎ取り付き), 022-356-3678 利府町観光協会※平日9:00～16:00,要予約 10名以上は要予約
池上会館屋上展望台,'関東'  '東京都'  '池上駅(東京都)',横浜の街並みから池上本門寺五重塔まで見渡せる,https://www.walkerplus.com/spot/ar0313s78764/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',    東京都大田区池上1-32-8[地図],    【電車】東急池上線池上駅から徒歩10分 【車】首都高速道路鈴ヶ森ランプから約15分,    屋上展望台 8:30～19:00,    12月29日～31日、臨時休館日,入場無料。, 03-3753-2241,
三方原観光りんご園,'東海'  '静岡県',温暖な静岡県でリンゴ狩りが楽しめる観光農園,https://www.walkerplus.com/spot/ar0622s58576/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県浜松市北区根洗町463[地図],    【電車】JR浜松駅からバスターミナル15番渋川・奥山行きで50分、根洗下車徒歩2分 【車】東名自動車道浜松西ICから国道257号線経由で15分,    09:00～17:00,    水曜日・木曜日,入園料 中学生以上 1100円 小学生 600円 3歳以上 300円 中学生以上は1キロのお土産と皮むき付き, 053-436-7178,要予約 団体は要事前予約
内海みかん狩り 鈴ケ谷センター,'東海'  '愛知県',ミカン狩りとバーベキューが同時に楽しめるミカン園,https://www.walkerplus.com/spot/ar0623s59068/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    愛知県知多郡南知多町大字内海字奥鈴ケ谷70-18[地図],    【電車】名鉄内海駅からタクシーで約5分 【車】南知多道路南知多ICから約1分,    8:00～17:00,    なし,入園料 大人(中学生以上) 1100円 小人(小学生) 650円 幼児(3～5歳) 450円 事前に電話予約をした場合は団体料金で入園可 団体割引料金(25名以上) 大人(中学生以上) 900円 小人(小学生) 500円 幼児(3～5歳) 300円 バーベキュー＋入園料 大人(中学生以上) 2000円 小人(小学生) 1500円, 0569-62-1497,要予約 バーベキューは要予約
観光 北田園,'関東'  '埼玉県',ブドウ狩りが楽しめる野球場並みに広い観光農園,https://www.walkerplus.com/spot/ar0311s59452/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    埼玉県所沢市北中1-234-9[地図],    【電車】西武池袋線小手指駅北口から徒歩20分 【車】関越自動車道所沢ICから入間市方面に約15分,    9:00～17:00    最終入園16:00,    水曜,ブドウ狩り入園料(試食付き) 中学生以上 200円 小学生以下 100円, 04-2922-9030,
リバティーリゾート久能山,'東海'  '静岡県',ショッピングにグルメ、カルチャーまで楽しめる総合温浴施設,https://www.walkerplus.com/spot/ar0622s397736/    ,遊ぶ,'レジャー・リゾート施設'  'テーマパーク・アミューズメントパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県静岡市駿河区古宿294[地図],    【電車】JR静岡駅南口から久能山下行バスで古宿下車徒歩約11分(土日のみ)。JR静岡駅南口から東大谷行きバスで東大谷乗換、久能山下行で古宿下車徒歩約11分 【車】東名高速道路静岡ICから約20分、日本平久能山スマートICから約15分、清水ICから約30分,    8:00～23:00 最終受付21:30。土曜は～24:00,    第2・第4火曜    月によって変更になる可能性あり,町屋エリア無料。温浴エリア 大人500円～、子供400円～, 054-204-1310 時間帯によりつながりにくい場合あり,
乙原観光園,'関西'  '兵庫県',乙原の自然の中で栗狩りができる観光農園,https://www.walkerplus.com/spot/ar0728s59449/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と', 〒669-1503 兵庫県三田市乙原１０６５,    【電車】JR三田駅、新三田駅よりタクシーで約20分,    10:00～16:00 LO:15:00,    不定休,栗狩り 大人(中学生以上) 1600円 子供(4歳以上) 1000円 4歳以下無料, 079-566-0005,要予約 電話にて要予約
花咲山展望台,'東北'  '山形県',風情ある温泉街を見下ろすロケーションが人気,https://www.walkerplus.com/spot/ar0206s74642/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',    山形県上山市葉山[地図],    【電車】JRかみのやま温泉駅からタクシーで約10分 【車】東北中央自動車道山形上山ICから約20分,    入場自由,    なし,入場無料。, 023-672-0839 上山市観光物産協会,
磐梯高原 南ヶ丘牧場,'東北'  '福島県',バター作り体験やロシアの家庭料理が味わえる,https://www.walkerplus.com/spot/ar0207s07610/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    福島県耶麻郡猪苗代町大字磐根字遠山1039-38[地図],    【車】磐越自動車道猪苗代磐梯高原ICから約30分,    8:00～17:30    ※7月の平日は9:00〜16:00の縮小営業,    不定休、夏季は無休,入場無料。, 0242-65-2707,通年。1～3月は平日休み(団体予約などは平日でも対応可、詳細は要問合せ)
東濃まきば館,'東海'  '岐阜県',バーベキューが楽しめる自然あふれる高原牧場,https://www.walkerplus.com/spot/ar0621s07584/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    岐阜県恵那市長島町鍋山4-66[地図],    【電車】JR恵那駅からタクシーに乗り約30分 【車】中央自動車道恵那ICから約30分,    10:00～16:00,    月曜～金曜(祝日の場合除く),入場無料。, 080-1577-4307,要予約 バター作り、アイスクリーム作り体験、バーベキューの一部メニューは3日前までに予約が必要
グリーンタワー相模原,'関東'  '神奈川県',スカイツリーまで見える展望塔,https://www.walkerplus.com/spot/ar0314s77196/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県相模原市南区麻溝台2317-1[地図],    【電車】小田急線相模大野駅またはJR横浜線相模原駅からバスに乗り約27分総合体育館前下車徒歩2分、またはJR相模線原当麻駅から徒歩約20分 【車】相模原愛川ICから約5km,    グリーンタワー相模原(展望塔) 4～9月 9:00～16:30、10～3月 9:00～16:00,    グリーンタワー相模原・フィールドアスレチック・管理事務所は2・5・8・11月の各第4月曜    ※施設によって異なる(詳細は公式サイト参照),入場無料。, 042-777-3451 8:30～17:00,
勝沼グレパーク,'甲信越'  '山梨県',雨の日も楽しむことができるブドウ農園,https://www.walkerplus.com/spot/ar0419s59545/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    山梨県甲州市勝沼町勝沼2972[地図],    【電車】JR勝沼ぶどう郷駅からタクシーで10分 【車】中央自動車道勝沼ICから5分,    07：00 ～日没まで,    なし    ブドウ狩り期間中は無休,, 0553-44-0645,
大山まきばみるくの里,'中国'  '鳥取県',自然と触れ合い、味覚を堪能,https://www.walkerplus.com/spot/ar0831s07617/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    鳥取県西伯郡伯耆町小林水無原2-11[地図],    【電車】JR米子駅から車で約30分 【車】米子自動車道溝口ICから約15分,    10:00～17:00,    火曜,入場無料。, 0859-52-3698,
加賀谷農園【2021年ブドウ・梨狩り中止】,'東北'  '秋田県',10種類のブドウや梨の摘み取りができる観光農園,https://www.walkerplus.com/spot/ar0205s58560/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    秋田県潟上市天王字棒沼台254-2[地図],    【電車】JR出戸浜駅から徒歩20分 【車】秋田自動車道昭和男鹿半島ICから10分,    09:00～17:00,    味覚狩り期間内(8月末～11月初旬)無休,入園無料 摘み取り分買い取り, 018-878-2279,
上山観光フルーツ園(山形チェリーランド),'東北'  '山形県',豊富な種類の味覚狩りを楽しめる、上山市内を一望できる農園,https://www.walkerplus.com/spot/ar0206s59696/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    山形県上山市三上1241-47[地図],    【電車】JR上山温泉駅からタクシーで約15分 【車】山形自動車道山形蔵王ICから約30分,    08:00～17:00,    期間中無休,サクランボ狩り入園料 6歳以上 1500円 3歳以上 800円 ブドウ・リンゴ狩り 6歳以上 800円 3歳以上 300円, 023-674-2345,
高根展望台,'関東'  '群馬県',伊香保温泉と榛名湖を結ぶ県道沿いの好展望地,https://www.walkerplus.com/spot/ar0310s70625/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',    群馬県渋川市伊香保町湯中子991-30[地図],    【電車】JR渋川駅からバス(関越交通バス伊香保温泉行きに乗り伊香保榛名口下車、群馬バス榛名湖行きに乗り換え)で伊香保森林自然公園前下車、徒歩2分 【車】関越自動車道渋川伊香保ICから約25分,,    なし    冬季降雪時は一時的に閉鎖となる場合あり,入場無料。, 0279-22-2111 渋川市役所観光課(平日8:30～17:15),
ふれあい展望台,'東北'  '山形県',住民手作りの展望スポットで山形市街地を一望,https://www.walkerplus.com/spot/ar0206s72534/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',  〒666-0257 兵庫県川辺郡猪名川町白金１丁目６,    【車】東北中央自動車道山形上山ICから約20分,    入場自由,    なし,入場無料。, 080-1830-5708 吉田朝夫(日･月曜18:00～20:00のみ対応可能),
所沢ぶどう園,'関東'  '埼玉県',約15品種のブドウ狩りと直売もある観光ブドウ園,https://www.walkerplus.com/spot/ar0311s58748/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    埼玉県所沢市亀ヶ谷470-1[地図],    【電車】JR東所沢駅から徒歩25分 【車】関越自動車道所沢ICから約5分,    9:00～17:00,,入園料 中学生以上 200円 小学生 100円 小学生未満無料, 04-2944-1556,
ヒルゼン高原センター・ジョイフルパーク,'中国'  '岡山県',ほのぼの遊べる大高原地帯の遊園地,https://www.walkerplus.com/spot/ar0833s12432/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    岡山県真庭市蒜山上福田1205-197[地図],    【電車】JR根雨駅からタクシーで約20分 【車】米子自動車道蒜山ICから約4分,    シーズン期間(3月下旬～11月下旬)10:00～17:00。日・祝は10:00～17:30。冬季期間(11月下旬～3月下旬)10:00～16:00    冬季期間は休園の場合あり,    なし,有料。 入園料 大人(中学生以上)700円、小人(3歳～小学生)500円、シニア(65歳～)500円。フリーパス(入園料込) 大人(中学生以上)3500円、小人(3歳～小学生)3000円、シニア(65歳～)3000円, 0867-66-3600,
岩瀬牧場,'東北'  '福島県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0207s12785/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    福島県岩瀬郡鏡石町桜町225[地図],    【電車】JR上鏡石駅から車で約5分 【車】東北自動車道須賀川ICから約15分、矢吹ICから約20分、または鏡石PAスマートICから約10分,    9:00～16:00,    なし,有料。 入園料 大人(中学生以上)500円 子供(小学生以下)300円。 幼児(3歳未満)は無料、同伴犬は無料, 0248-62-6789,
サンシャインステーブルス,'関東'  '千葉県',九十九里の海岸をのんびり乗馬散歩,https://www.walkerplus.com/spot/ar0312s217773/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    千葉県山武郡九十九里町作田5610[地図],    【電車】JR成東駅からバスで約30分、作田海岸下車徒歩5分 【車】首都圏中央連絡自動車道東金ICから約30分,    9:00～日没,    年中無休    臨時休業あり,有料。 アリーナレッスン(30分)7000円、 ビギナーズトレイル(60分)一般11000円、経験者トレイル(60分～)一般11000円～、1名のみの参加は別途ガイド料2000円プラス ※税、保険料込み, 0475-76-1671,要予約 電話にて予約受付
岩山パークランド,'東北'  '岩手県',アトラクション豊富でレジャーやデートにぴったりの遊園地,https://www.walkerplus.com/spot/ar0203s128633/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    岩手県盛岡市新庄字岩山50[地図],    【電車】JR盛岡駅からバスで約35分、パークランド前下車徒歩3分 【車】東北自動車道盛岡南ICから約30分,    9:30～17:00,    水・木曜。春休み、ゴールデンウイーク、夏休み期間中は無休,有料。 入園料 大人(中学生以上)400円、子供(4歳～小学生)・シニア(65歳以上)200円、3歳以下無料。一般フリーパス 大人(中学生以上)2600円、子供(4歳～小学生)2200円, 019-625-1430,
森田筑緑園,'九州'  '福岡県',混雑する時間の目安,https://www.walkerplus.com/spot/ar1040s388798/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    福岡県久留米市田主丸町高丸760-1[地図],    【車】大分自動車道甘木ICから約25分,    8:00～17:30    ブドウ狩りは8:30〜17:00,    果物狩り期間中無休,入場無料。 摘み取り量り売り制。ブドウ(巨峰):8月10日〜15日(お盆まで)1kg1400円、8月16日〜終了1kg1200円※その他品種は要問い合わせ。イチジク:100g100円。ブルーベリー:1カップ300円。ナツメ:100g200円, 0943-73-3133,
石井テル園　【2021年梨・ブドウ狩り中止】,'関東'  '千葉県'  '鎌ヶ谷大仏駅(千葉県)',ピクニック気分で行ける味覚狩りが楽しめる農園,https://www.walkerplus.com/spot/ar0312s58976/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    千葉県鎌ケ谷市鎌ケ谷7-8-69[地図],    【電車】新京成線鎌ケ谷大仏駅から徒歩12分 【車】京葉道路花輪ICから県道8・59号で約20分,    9:30～17:00,    通常期間中は無休,入園料 小学生以上 900円 幼児(3～5歳) 500円, 047-443-1854,要予約 9月下旬は要電話確認。個人での利用は予約不要
沢山ポケットパーク,'甲信越'  '新潟県',信濃川や越後平野、魚沼の山々を見渡す,https://www.walkerplus.com/spot/ar0415s72132/    ,遊ぶ,'展望台・タワー'  '子供と'  '恋人と・夫婦で'  '友達と',    新潟県小千谷市山本山高原[地図],    【電車】JR小千谷駅から越後交通バス岩沢経由十日町行きで10分、山本山高原入口前下車徒歩50分 【車】関越自動車道越後川口ICから約10分,    入場自由,    なし,入場無料。, 0258-83-3512 小千谷観光協会,
山本農園,'東海'  '岐阜県',四季の変化で旬の味覚が楽しめる農園,https://www.walkerplus.com/spot/ar0621s58584/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    岐阜県中津川市落合上平1336-475[地図],    【電車】JR東海中央本線中津川駅からタクシーで20分 【車】中央自動車道中津川ＩＣから国道19号線を経由し、県道7号を平石方面へ車で10㎞,    9:00～17:00 LO:16:00,    10月以降不定休,入場無料。 ブドウ狩り 大人(中学生以上)～8月31日(日) 1300円 大人(中学生以上)9月1日(月)～ 900円 小学生 800円 幼児(4歳以上) 500円 4歳未満無料 栗拾い 大人(中学生以上)9月上旬～10月中旬1760円、10月中旬～880円、小学生 550円、幼児(4歳以上)550円 リンゴ狩り 大人(中学生以上) 800円 小学生 700円 幼児(4歳以上) 400円 4歳未満無料, 0573-69-3355,要予約 栗拾いのみ要予約
幸果園 (岡崎駒立ぶどう狩り組合),'東海'  '愛知県',施設オリジナルの品種もあるブドウ園,https://www.walkerplus.com/spot/ar0623s59554/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    愛知県岡崎市米河内町楠形5[地図],    【車】東海環状自動車道豊田東ICから20分,    09:30～16:30    天候などにより閉園を早める場合あり,    なし,, 0564-45-5151 岡崎駒立ぶどう狩り組合,
まるえ観光果樹園,'東北'  '福島県',初夏から初冬まで味覚狩りが楽しめる,https://www.walkerplus.com/spot/ar0207s58857/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    福島県福島市大笹生字鬼越山3[地図],    【電車】JR福島駅から車で約20分 【車】東北自動車道福島飯坂ICから約10分,    8:00～17:00,    期間中無休,, 024-558-0516,要予約 10名以上の団体は要電話予約
長良川畔観光園芸組合,'東海'  '岐阜県',長良川の砂地で育ったブドウは糖度が自慢！,https://www.walkerplus.com/spot/ar0621s58732/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    岐阜県岐阜市雄総緑町2－34[地図],    【電車】JR岐阜駅からN41おぶさ行きバスに乗り約25分 おぶさ公民館前下車徒歩5分,    10:00～16:00,    期間中無休,ブドウ狩り 大人(12歳以上) 1100円 小人(3歳以上) 850円 3歳未満無料(3歳未満3名で、小人1名分の料金) ブドウ狩り(20名以上の団体) 大人(12歳以上) 1000円 小人(3歳以上) 800円, 058-231-3623,
伊藤ぶどう園,'甲信越'  '新潟県',アクセス便利で20種類以上のブドウが堪能できる農園,https://www.walkerplus.com/spot/ar0415s58908/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    新潟県新潟市江南区西野1905[地図],    【電車】JR東新潟駅からタクシーで約5分 【車】日本海東北道新潟空港ICから約5分,    9:00～17:00,    なし    期間中無休,入場無料 もぎ取ったブドウは量り売り, 025-276-6552 ※夜間(自宅)025-276-6230,
やま岡果園 (岡崎駒立ぶどう狩り組合),'東海'  '愛知県',有機肥料・減農薬で環境に優しいブドウ農園,https://www.walkerplus.com/spot/ar0623s59546/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    愛知県岡崎市駒立町アマヤケ43番地[地図],    【車】東海環状自動車道豊田東ICから約20分,    9:30～16:30    天候などにより閉園を早める場合あり,    なし,, 0564-45-5151 岡崎駒立ぶどう狩り組合,
東筑波ユートピア,'関東'  '茨城県',愉快なサルのショーを見学,https://www.walkerplus.com/spot/ar0308s14681/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    茨城県石岡市吉生2729-1[地図],    【電車】JR石岡駅からバスで柿岡車庫下車、徒歩50分 【車】常磐自動車道土浦北ICから朝日トンネル経由約25分、または千代田石岡ICから約35分,    夏期10:00～17:00(土・日・祝日9:30オープン)、冬期10:00～16:30(土・日・祝日9:30オープン),    不定休    天候により閉園の場合あり,有料。 入園料 大人(中学生以上)1200円、子供(3歳以上)720円 動物園・ネコカフェ・お猿のパフォーマンスすべて含む, 0299-43-6656,
中条フルーツ農場,'甲信越'  '長野県',広い敷地でリンゴ狩りや巨峰狩りが楽しめる農園,https://www.walkerplus.com/spot/ar0420s58969/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    長野県須坂市小河原松川3750[地図],    【電車】長野電鉄小布施駅からタクシーで約5分 【車】上信越自動車道小布施スマートICから約5分,    売店 8:30～18:00    入園は16:00まで,    味覚狩り期間中無休    (入場：8月下旬～11月末、売店：8月上旬～12月下旬),入場無料。 リンゴ狩り園内食べ放題(8月下旬～11月下旬頃まで) 大人(小学生以上) 450円、幼児(3～5歳) 230円、3歳未満無料 種なし巨峰狩り園内食べ放題(9月上旬～10月上旬) 大人(小学生以上) 1200円、幼児(3～5歳) 600円、3歳未満無料 シャインマスカット一房狩り　(9月中旬～10月上旬) 全年齢(小学生以上) 1650円, 026-245-1955,
世羅大豊農園,'中国'  '広島県',子供連れにうれしい施設が整った梨メインの観光農園,https://www.walkerplus.com/spot/ar0834s59257/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    広島県世羅郡世羅町京丸10804[地図],    【車】尾道自動車道世羅ICから約20分、山陽自動車道本郷IC・河内ICから約30分,    9:00～16:00    果物狩り受付 8:00～17:00 売店,    なし,入園料 1時間1200円, 0847-27-0231,ブドウ狩り 9月1日～9月15日    ブドウ狩りは現場まで徒歩。じゃらんネットにより要予約
